SKU,Bin,Quantity
0227NZ-010-4XL,*,10
0338NZ-010-XL,*,20
0347NZ-451-3XL,*,35
A19914-464-2XL,*,17
A19914-464-2XL-TALL,*,5
A19914-464-3XL,*,10
A19914-464-3XL-TALL,*,5
A19914-464-4XL,*,5
A19914-464-4XL-TALL,*,5
A19914-464-L,*,48
A19914-464-L-TALL,*,5
A19914-464-M,*,21
A19914-464-XL,*,52
A19914-464-XL-TALL,*,5
A19918-010-S,*,46
A19918-010-XS,*,49
A19918-451-XL,*,98
A19918-464-L,*,129
A19918-464-M,*,128
A19918-464-S,*,25
A19918-464-XS,*,14
A19920-451-L,*,60
A19920-719-L,*,53
A19920-719-XL,*,60
A20107-719-3XL,*,3
BV6708-010-2XL,*,117
BV6708-410-S,*,52
BV6741-010-S,*,7
CW6894-010-XL,*,14
CZ9831-010-S,*,8
FB7932-010-2XL,*,3
FB7963-010-XL,*,33
0228NZ-063-S,1A-01-001,36
0228NZ-063-M,1A-01-002,36
0228NZ-063-L,1A-01-003,24
0228NZ-063-XL,1A-01-004,24
0228NZ-451-L,1A-01-005,18
0228NZ-451-M,1A-01-005,5
0228NZ-451-XL,1A-01-006,19
0228NZ-451-2XL,1A-01-007,24
0228NZ-451-3XL,1A-01-008,24
0228NZ-451-L,1A-01-009,16
0228NZ-451-M,1A-01-009,17
A19914-343-2XL,1A-01-01,6
A19914-343-2XL-TALL,1A-01-01,3
A19914-343-3XL,1A-01-01,1
A19914-343-3XL-TALL,1A-01-01,2
A19914-343-4XL,1A-01-01,2
A19914-343-L,1A-01-01,141
A19914-343-L-TALL,1A-01-01,2
A19914-343-M,1A-01-01,55
A19914-343-S,1A-01-01,18
A19914-343-XL,1A-01-01,37
A19914-343-XL-TALL,1A-01-01,1
A19916-343-2XL,1A-01-01,7
A19916-343-2XL-TALL,1A-01-01,3
A19916-343-3XL,1A-01-01,5
A19916-343-3XL-TALL,1A-01-01,2
A19916-343-L,1A-01-01,31
A19916-343-L-TALL,1A-01-01,3
A19916-343-M,1A-01-01,97
A19916-343-S,1A-01-01,29
A19916-343-XL,1A-01-01,6
A19916-343-XL-TALL,1A-01-01,2
A19918-343-L,1A-01-01,78
A19918-343-S,1A-01-01,1
A19918-343-XL,1A-01-01,102
A19919-738-2XL,1A-01-01,4
A19919-738-2XL-TALL,1A-01-01,3
A19919-738-3XL,1A-01-01,4
A19919-738-3XL-TALL,1A-01-01,2
A19919-738-4XL,1A-01-01,2
A19919-738-L,1A-01-01,127
A19919-738-L-TALL,1A-01-01,3
A19919-738-M,1A-01-01,57
A19919-738-S,1A-01-01,24
A19919-738-XL,1A-01-01,41
A19919-738-XL-TALL,1A-01-01,2
A19920-451-L,1A-01-01,1
A19920-738-L,1A-01-01,86
A19920-738-S,1A-01-01,8
A19920-738-XL,1A-01-01,68
A20107-738-2XL,1A-01-01,2
A20107-738-2XL-TALL,1A-01-01,3
A20107-738-3XL,1A-01-01,4
A20107-738-3XL-TALL,1A-01-01,3
A20107-738-L,1A-01-01,21
A20107-738-L-TALL,1A-01-01,3
A20107-738-M,1A-01-01,94
A20107-738-S,1A-01-01,33
A20107-738-XL,1A-01-01,5
A20107-738-XL-TALL,1A-01-01,2
A20107-738-XS,1A-01-01,5
BV6728-010-L,1A-01-01,1
BV6728-410-S,1A-01-01,1
BV6879-410-M,1A-01-01,1
CW6894-010-XL,1A-01-01,1
CW6894-463-XL,1A-01-01,3
SX7622-013-L,1A-01-01,21
0228NZ-451-XL,1A-01-010,6
0228NZ-010-3XL,1A-01-011,24
0228NZ-010-2XL,1A-01-012,22
0228NZ-010-S,1A-01-013,34
0228NZ-010-M,1A-01-014,33
0228NZ-010-L,1A-01-015,10
0228NZ-010-XL,1A-01-016,24
0228NZ-063-2XL,1A-01-017,32
